OCC,Category
10,Top Executives
20,Top Executives
40,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
51,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
52,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
60,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
101,Operations Specialties Managers
102,Operations Specialties Managers
110,Operations Specialties Managers
120,Operations Specialties Managers
135,Operations Specialties Managers
136,Operations Specialties Managers
137,Operations Specialties Managers
140,Operations Specialties Managers
150,Operations Specialties Managers
160,Operations Specialties Managers
205,Other Management Occupations
220,Other Management Occupations
230,Other Management Occupations
300,Other Management Occupations
310,Other Management Occupations
335,Other Management Occupations
340,Other Management Occupations
350,Other Management Occupations
360,Other Management Occupations
410,Other Management Occupations
420,Other Management Occupations
425,Other Management Occupations
440,Other Management Occupations
500,Business Operations Specialists
510,Business Operations Specialists
520,Business Operations Specialists
530,Business Operations Specialists
540,Business Operations Specialists
565,Business Operations Specialists
600,Business Operations Specialists
630,Business Operations Specialists
640,Business Operations Specialists
650,Business Operations Specialists
700,Business Operations Specialists
705,Business Operations Specialists
710,Business Operations Specialists
725,Business Operations Specialists
726,Business Operations Specialists
735,Business Operations Specialists
750,Business Operations Specialists
800,Financial Specialists
810,Financial Specialists
820,Financial Specialists
830,Financial Specialists
845,Financial Specialists
850,Financial Specialists
860,Financial Specialists
900,Financial Specialists
910,Financial Specialists
930,Financial Specialists
940,Financial Specialists
960,Financial Specialists
1005,Computer Occupations
1006,Computer Occupations
1007,Computer Occupations
1010,Computer Occupations
1021,Computer Occupations
1022,Computer Occupations
1031,Computer Occupations
1032,Computer Occupations
1050,Computer Occupations
1065,Computer Occupations
1105,Computer Occupations
1106,Computer Occupations
1108,Computer Occupations
1200,Mathematical Science Occupations
1220,Mathematical Science Occupations
1240,Mathematical Science Occupations
1305,"Architects, Surveyors, and Cartographers"
1306,"Architects, Surveyors, and Cartographers"
1310,"Architects, Surveyors, and Cartographers"
1320,Engineers
1340,Engineers
1350,Engineers
1360,Engineers
1400,Engineers
1410,Engineers
1420,Engineers
1430,Engineers
1440,Engineers
1450,Engineers
1460,Engineers
1520,Engineers
1530,Engineers
1541,"Drafters, Engineering Technicians, and Mapping Technician"
1545,"Drafters, Engineering Technicians, and Mapping Technician"
1551,"Drafters, Engineering Technicians, and Mapping Technician"
1555,"Drafters, Engineering Technicians, and Mapping Technician"
1560,"Drafters, Engineering Technicians, and Mapping Technician"
1600,Life Scientists
1610,Life Scientists
1640,Life Scientists
1650,Life Scientists
1700,Physical Scientists
1710,Physical Scientists
1720,Physical Scientists
1745,Physical Scientists
1750,Physical Scientists
1760,Physical Scientists
1800,Social Scientists and Related Workers
1821,Social Scientists and Related Workers
1822,Social Scientists and Related Workers
1825,Social Scientists and Related Workers
1840,Social Scientists and Related Workers
1860,Social Scientists and Related Workers
1900,"Life, Physical, and Social Science Technicians"
1910,"Life, Physical, and Social Science Technicians"
1920,"Life, Physical, and Social Science Technicians"
1935,"Life, Physical, and Social Science Technicians"
1970,"Life, Physical, and Social Science Technicians"
1980,Occupational Health and Safety Specialists and Technicians
2001,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2002,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2003,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2004,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2005,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2006,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2011,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2012,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2013,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2014,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2015,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2016,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2025,"Counselors, Social Workers, and Other Community and Social Service Specialists"
2040,Religious Workers
2050,Religious Workers
2060,Religious Workers
2100,"Lawyers, Judges, and Related Workers"
2105,"Lawyers, Judges, and Related Workers"
2145,Legal Support Workers
2170,Legal Support Workers
2180,Legal Support Workers
2205,Postsecondary Teachers
2300,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
2310,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
2320,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
2330,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
2350,Other Teachers and Instructors
2360,Other Teachers and Instructors
2400,"Librarians, Curators, and Archivists"
2435,"Librarians, Curators, and Archivists"
2440,"Librarians, Curators, and Archivists"
2545,Other Educational Instruction and Library Occupations
2555,Other Educational Instruction and Library Occupations
2600,Art and Design Workers
2631,Art and Design Workers
2632,Art and Design Workers
2633,Art and Design Workers
2634,Art and Design Workers
2635,Art and Design Workers
2636,Art and Design Workers
2640,Art and Design Workers
2700,"Entertainers and Performers, Sports and Related Workers"
2710,"Entertainers and Performers, Sports and Related Workers"
2721,"Entertainers and Performers, Sports and Related Workers"
2722,"Entertainers and Performers, Sports and Related Workers"
2723,"Entertainers and Performers, Sports and Related Workers"
2740,"Entertainers and Performers, Sports and Related Workers"
2751,"Entertainers and Performers, Sports and Related Workers"
2752,"Entertainers and Performers, Sports and Related Workers"
2755,"Entertainers and Performers, Sports and Related Workers"
2770,"Entertainers and Performers, Sports and Related Workers"
2805,Media and Communication Workers
2810,Media and Communication Workers
2825,Media and Communication Workers
2830,Media and Communication Workers
2840,Media and Communication Workers
2850,Media and Communication Workers
2861,Media and Communication Workers
2862,Media and Communication Workers
2865,Media and Communication Workers
2905,Media and Communication Equipment Workers
2910,Media and Communication Equipment Workers
2920,Media and Communication Equipment Workers
3000,Healthcare Diagnosing or Treating Practitioners
3010,Healthcare Diagnosing or Treating Practitioners
3030,Healthcare Diagnosing or Treating Practitioners
3040,Healthcare Diagnosing or Treating Practitioners
3050,Healthcare Diagnosing or Treating Practitioners
3090,Healthcare Diagnosing or Treating Practitioners
3100,Healthcare Diagnosing or Treating Practitioners
3110,Healthcare Diagnosing or Treating Practitioners
3120,Healthcare Diagnosing or Treating Practitioners
3140,Healthcare Diagnosing or Treating Practitioners
3150,Healthcare Diagnosing or Treating Practitioners
3160,Healthcare Diagnosing or Treating Practitioners
3200,Healthcare Diagnosing or Treating Practitioners
3210,Healthcare Diagnosing or Treating Practitioners
3220,Healthcare Diagnosing or Treating Practitioners
3230,Healthcare Diagnosing or Treating Practitioners
3245,Healthcare Diagnosing or Treating Practitioners
3250,Healthcare Diagnosing or Treating Practitioners
3255,Healthcare Diagnosing or Treating Practitioners
3256,Healthcare Diagnosing or Treating Practitioners
3258,Healthcare Diagnosing or Treating Practitioners
3261,Healthcare Diagnosing or Treating Practitioners
3270,Healthcare Diagnosing or Treating Practitioners
3300,Health Technologists and Technicians
3310,Healthcare Diagnosing or Treating Practitioners
3321,Health Technologists and Technicians
3322,Health Technologists and Technicians
3323,Health Technologists and Technicians
3324,Health Technologists and Technicians
3330,Health Technologists and Technicians
3401,Health Technologists and Technicians
3402,Health Technologists and Technicians
3421,Health Technologists and Technicians
3422,Health Technologists and Technicians
3423,Health Technologists and Technicians
3424,Health Technologists and Technicians
3430,Health Technologists and Technicians
3500,Health Technologists and Technicians
3515,Health Technologists and Technicians
3520,Health Technologists and Technicians
3545,Health Technologists and Technicians
3550,Health Technologists and Technicians
3601,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
